LAST NAME,FIRST NAME,MIDDLE NAME,STUDENT ID,COURSE NUMBER,COURSE NAME,COURSE ID,ROOM NUMBER,PERIOD
ABBOTT,AYDAN,J.,1,CourseNumber1,CourseName2,CourseID3,RoomNumber3,5
ABBOTT,AYDAN,J.,1,CourseNumber2,CourseName3,CourseID5,RoomNumber4,3
ABBOTT,AYDAN,J.,1,CourseNumber3,CourseName7,CourseID9,RoomNumber7,1
ABBOTT,AYDAN,J.,1,CourseNumber4,CourseName8,CourseID11,RoomNumber5,8
ABBOTT,AYDAN,J.,1,CourseNumber5,CourseName9,CourseID12,RoomNumber8,2
ABBOTT,DEAN,B.,2,CourseNumber10,CourseName18,CourseID26,RoomNumber13,2
ABBOTT,DEAN,B.,2,CourseNumber11,CourseName19,CourseID28,RoomNumber14,7
ABBOTT,DEAN,B.,2,CourseNumber6,CourseName12,CourseID17,RoomNumber111,1
ABBOTT,DEAN,B.,2,CourseNumber7,CourseName15,CourseID20,RoomNumber11,5
ABBOTT,DEAN,B.,2,CourseNumber8,CourseName16,CourseID22,RoomNumber12,8
ABBOTT,DEAN,B.,2,CourseNumber9,CourseName17,CourseID24,RoomNumber7,3
ABEL,DAKOTA,C.,3,CourseNumber12,CourseName23,CourseID36,RoomNumber17,1
ABEL,DAKOTA,C.,3,CourseNumber13,CourseName24,CourseID38,RoomNumber7,3
ABEL,DAKOTA,C.,3,CourseNumber14,CourseName25,CourseID40,RoomNumber18,8
ABEL,DAKOTA,C.,3,CourseNumber15,CourseName26,CourseID42,RoomNumber19,4
ABEL,DAKOTA,C.,3,CourseNumber16,CourseName27,CourseID44,RoomNumber20,2
ABRAHAM,AGATHA,D.,4,CourseNumber10,CourseName18,CourseID58,RoomNumber27,8
ABRAHAM,AGATHA,D.,4,CourseNumber17,CourseName30,CourseID48,RoomNumber24,7
ABRAHAM,AGATHA,D.,4,CourseNumber18,CourseName16,CourseID52,RoomNumber26,6
ABRAHAM,AGATHA,D.,4,CourseNumber19,CourseName31,CourseID54,RoomNumber111,5
ABRAHAM,AGATHA,D.,4,CourseNumber6,CourseName12,CourseID17,RoomNumber111,1
ABRAHAM,AGATHA,D.,4,CourseNumber7,CourseName15,CourseID50,RoomNumber25,4
ABRAHAM,AGATHA,D.,4,CourseNumber9,CourseName17,CourseID56,RoomNumber7,2
ABRAMS,CECILE,J.,5,CourseNumber12,CourseName23,CourseID69,RoomNumber31,8
ABRAMS,CECILE,J.,5,CourseNumber20,CourseName32,CourseID61,RoomNumber24,1
ABRAMS,CECILE,J.,5,CourseNumber21,CourseName34,CourseID64,RoomNumber29,6
ABRAMS,CECILE,J.,5,CourseNumber22,CourseName37,CourseID67,RoomNumber25,2
ABRAMS,CECILE,J.,5,CourseNumber23,CourseName24,CourseID71,RoomNumber7,4
ABREU,BAYLY,E.,6,CourseNumber1,CourseName2,CourseID81,RoomNumber34,6
ABREU,BAYLY,E.,6,CourseNumber21,CourseName34,CourseID79,RoomNumber29,5
ABREU,BAYLY,E.,6,CourseNumber24,CourseName40,CourseID83,RoomNumber26,7
ABREU,BAYLY,E.,6,CourseNumber25,CourseName41,CourseID85,RoomNumber7,1
ABREU,BAYLY,E.,6,CourseNumber26,CourseName42,CourseID87,RoomNumber35,2
ABREU,BAYLY,E.,6,CourseNumber27,CourseName43,CourseID89,RoomNumber36,4
ABREU,CATE,F.,7,CourseNumber16,CourseName27,CourseID44,RoomNumber20,2
ABREU,CATE,F.,7,CourseNumber28,CourseName45,CourseID95,RoomNumber38,8
ABREU,CATE,F.,7,CourseNumber29,CourseName46,CourseID97,RoomNumber17,7
ABREU,CATE,F.,7,CourseNumber30,CourseName47,CourseID99,RoomNumber7,5
ABREU,CATE,F.,7,CourseNumber31,CourseName48,CourseID101,RoomNumber18,3
ABREU,CATE,F.,7,CourseNumber32,CourseName49,CourseID104,RoomNumber39,4
ACEVEDO,ADLEY,J.,8,CourseNumber33,CourseName50,CourseID106,RoomNumber15,8
ACEVEDO,ADLEY,J.,8,CourseNumber34,CourseName51,CourseID108,RoomNumber40,1
ACEVEDO,ADLEY,J.,8,CourseNumber35,CourseName52,CourseID110,RoomNumber7,4
ACEVEDO,ADLEY,J.,8,CourseNumber36,CourseName53,CourseID112,RoomNumber8,3
ACEVEDO,ADLEY,J.,8,CourseNumber37,CourseName54,CourseID114,RoomNumber41,5
ACEVEDO,ADLEY,J.,8,CourseNumber38,CourseName55,CourseID116,RoomNumber42,2
ACEVEDO,ADLEY,J.,8,CourseNumber39,CourseName56,CourseID118,RoomNumber36,6
ACKERMAN,CORRA,G.,9,CourseNumber40,CourseName57,CourseID120,RoomNumber43,4
ACKERMAN,CORRA,G.,9,CourseNumber41,CourseName58,CourseID122,RoomNumber44,8
ACKERMAN,CORRA,G.,9,CourseNumber42,CourseName59,CourseID124,RoomNumber45,1
ACKERMAN,CORRA,G.,9,CourseNumber43,CourseName60,CourseID126,RoomNumber45,7
ACKERMAN,CORRA,G.,9,CourseNumber44,CourseName61,CourseID128,RoomNumber46,5
ACKERMAN,CORRA,G.,9,CourseNumber45,CourseName62,CourseID130,RoomNumber7,3
ACKERMAN,CORRA,G.,9,CourseNumber46,CourseName63,CourseID132,RoomNumber47,6
ACOSTA,ABOBAKER,H.,10,CourseNumber15,CourseName26,CourseID42,RoomNumber19,4
ACOSTA,ABOBAKER,H.,10,CourseNumber27,CourseName43,CourseID144,RoomNumber50,5
ACOSTA,ABOBAKER,H.,10,CourseNumber35,CourseName52,CourseID140,RoomNumber7,7
ACOSTA,ABOBAKER,H.,10,CourseNumber47,CourseName64,CourseID136,RoomNumber48,3
ACOSTA,ABOBAKER,H.,10,CourseNumber48,CourseName65,CourseID138,RoomNumber26,1
ACOSTA,ABOBAKER,H.,10,CourseNumber49,CourseName66,CourseID142,RoomNumber49,2
ADAIR,ABDULMOHYMEN,J.,11,CourseNumber1,CourseName2,CourseID81,RoomNumber34,6
ADAIR,ABDULMOHYMEN,J.,11,CourseNumber25,CourseName41,CourseID151,RoomNumber7,5
ADAIR,ABDULMOHYMEN,J.,11,CourseNumber37,CourseName54,CourseID153,RoomNumber52,4
ADAIR,ABDULMOHYMEN,J.,11,CourseNumber38,CourseName55,CourseID155,RoomNumber53,2
ADAIR,ABDULMOHYMEN,J.,11,CourseNumber50,CourseName67,CourseID147,RoomNumber51,8
ADAIR,ABDULMOHYMEN,J.,11,CourseNumber51,CourseName68,CourseID149,RoomNumber44,7
ADAIR,ABDULMOHYMEN,J.,11,CourseNumber52,CourseName69,CourseID157,RoomNumber39,3
ADAIR,AIESHA,J.,12,CourseNumber27,CourseName43,CourseID173,RoomNumber50,8
ADAIR,AIESHA,J.,12,CourseNumber53,CourseName70,CourseID161,RoomNumber43,6
ADAIR,AIESHA,J.,12,CourseNumber54,CourseName71,CourseID163,RoomNumber54,3
ADAIR,AIESHA,J.,12,CourseNumber55,CourseName72,CourseID165,RoomNumber55,4
ADAIR,AIESHA,J.,12,CourseNumber56,CourseName73,CourseID167,RoomNumber56,5
ADAIR,AIESHA,J.,12,CourseNumber57,CourseName74,CourseID171,RoomNumber57,2
ADAIR,AIESHA,J.,12,CourseNumber6,CourseName12,CourseID160,RoomNumber111,7
ADAIR,AIESHA,J.,12,CourseNumber9,CourseName17,CourseID169,RoomNumber7,1
ADAMS,DONNIE,J.,13,CourseNumber10,CourseName18,CourseID184,RoomNumber57,4
ADAMS,DONNIE,J.,13,CourseNumber48,CourseName65,CourseID180,RoomNumber17,8
ADAMS,DONNIE,J.,13,CourseNumber58,CourseName75,CourseID178,RoomNumber6,6
ADAMS,DONNIE,J.,13,CourseNumber59,CourseName76,CourseID186,RoomNumber58,5
ADAMS,DONNIE,J.,13,CourseNumber6,CourseName12,CourseID175,RoomNumber111,1
ADAMS,DONNIE,J.,13,CourseNumber60,CourseName77,CourseID188,RoomNumber39,2
ADAMS,DONNIE,J.,13,CourseNumber7,CourseName15,CourseID176,RoomNumber3,3
ADAMS,DONNIE,J.,13,CourseNumber9,CourseName17,CourseID182,RoomNumber7,7
ADDISON,DAVINA,I.,14,CourseNumber26,CourseName42,CourseID196,RoomNumber35,4
ADDISON,DAVINA,I.,14,CourseNumber3,CourseName7,CourseID9,RoomNumber7,1
ADDISON,DAVINA,I.,14,CourseNumber31,CourseName48,CourseID194,RoomNumber60,6
ADDISON,DAVINA,I.,14,CourseNumber50,CourseName67,CourseID147,RoomNumber51,8
ADDISON,DAVINA,I.,14,CourseNumber52,CourseName69,CourseID198,RoomNumber61,5
ADDISON,DAVINA,I.,14,CourseNumber61,CourseName78,CourseID190,RoomNumber5,3
ADDISON,DAVINA,I.,14,CourseNumber62,CourseName79,CourseID192,RoomNumber59,2
ADDISON,GARRY,J.,15,CourseNumber53,CourseName70,CourseID161,RoomNumber43,6
ADDISON,GARRY,J.,15,CourseNumber57,CourseName74,CourseID171,RoomNumber57,2
ADDISON,GARRY,J.,15,CourseNumber6,CourseName12,CourseID202,RoomNumber111,7
ADDISON,GARRY,J.,15,CourseNumber63,CourseName80,CourseID203,RoomNumber62,3
ADDISON,GARRY,J.,15,CourseNumber64,CourseName81,CourseID205,RoomNumber59,1
ADDISON,GARRY,J.,15,CourseNumber9,CourseName17,CourseID207,RoomNumber7,8
ADKINS,AIGHAN,J.,16,CourseNumber53,CourseName70,CourseID211,RoomNumber16,2
ADKINS,AIGHAN,J.,16,CourseNumber55,CourseName72,CourseID213,RoomNumber55,3
ADKINS,AIGHAN,J.,16,CourseNumber56,CourseName73,CourseID215,RoomNumber56,8
ADKINS,AIGHAN,J.,16,CourseNumber57,CourseName74,CourseID219,RoomNumber60,7
ADKINS,AIGHAN,J.,16,CourseNumber6,CourseName12,CourseID210,RoomNumber111,6
ADKINS,AIGHAN,J.,16,CourseNumber65,CourseName82,CourseID221,RoomNumber63,5
ADKINS,AIGHAN,J.,16,CourseNumber66,CourseName83,CourseID223,RoomNumber39,1
ADKINS,AIGHAN,J.,16,CourseNumber9,CourseName17,CourseID217,RoomNumber7,4
AGUILAR,AIDYN,J.,17,CourseNumber40,CourseName57,CourseID225,RoomNumber15,1
AGUILAR,AIDYN,J.,17,CourseNumber42,CourseName59,CourseID227,RoomNumber45,5
AGUILAR,AIDYN,J.,17,CourseNumber45,CourseName62,CourseID233,RoomNumber7,4
AGUILAR,AIDYN,J.,17,CourseNumber46,CourseName63,CourseID132,RoomNumber47,6
AGUILAR,AIDYN,J.,17,CourseNumber67,CourseName84,CourseID229,RoomNumber64,7
AGUILAR,AIDYN,J.,17,CourseNumber68,CourseName85,CourseID231,RoomNumber46,8
